"Imbalance settlement period (UTC)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"11.04.2022 05:00 - 11.04.2022 06:00","336.01","","","","336.01","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 06:00 - 11.04.2022 07:00","528.84","","","","528.84","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 07:00 - 11.04.2022 08:00","520.00","","","","520.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 08:00 - 11.04.2022 09:00","165.00","","","","165.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 09:00 - 11.04.2022 10:00","160.00","","","","160.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 10:00 - 11.04.2022 11:00","162.00","","","","162.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 11:00 - 11.04.2022 12:00","162.00","","","","162.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 12:00 - 11.04.2022 13:00","160.50","","","","160.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 13:00 - 11.04.2022 14:00","161.62","","","","161.62","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 14:00 - 11.04.2022 15:00","167.50","","","","167.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 15:00 - 11.04.2022 16:00","285.42","","","","285.42","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 16:00 - 11.04.2022 17:00","282.36","","","","282.36","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 17:00 - 11.04.2022 18:00","296.99","","","","296.99","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 18:00 - 11.04.2022 19:00","328.49","","","","328.49","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 19:00 - 11.04.2022 20:00","267.88","","","","267.88","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 20:00 - 11.04.2022 21:00","247.99","","","","247.99","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 21:00 - 11.04.2022 22:00","204.62","","","","204.62","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 22:00 - 11.04.2022 23:00","192.90","","","","192.90","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"11.04.2022 23:00 - 12.04.2022 00:00","172.00","","","","172.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 00:00 - 12.04.2022 01:00","172.00","","","","172.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 01:00 - 12.04.2022 02:00","164.50","","","","164.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 02:00 - 12.04.2022 03:00","165.00","","","","165.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 03:00 - 12.04.2022 04:00","170.00","","","","170.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 04:00 - 12.04.2022 05:00","172.00","","","","172.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 05:00 - 12.04.2022 06:00","176.00","","","","176.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 06:00 - 12.04.2022 07:00","249.98","","","","249.98","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 07:00 - 12.04.2022 08:00","175.00","","","","175.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 08:00 - 12.04.2022 09:00","25.00","","","","25.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 09:00 - 12.04.2022 10:00","25.00","","","","25.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 10:00 - 12.04.2022 11:00","21.00","","","","21.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 11:00 - 12.04.2022 12:00","17.00","","","","17.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 12:00 - 12.04.2022 13:00","17.00","","","","17.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 13:00 - 12.04.2022 14:00","26.00","","","","26.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 14:00 - 12.04.2022 15:00","31.00","","","","31.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 15:00 - 12.04.2022 16:00","47.68","","","","47.68","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 16:00 - 12.04.2022 17:00","170.50","","","","170.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 17:00 - 12.04.2022 18:00","171.00","","","","171.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 18:00 - 12.04.2022 19:00","172.00","","","","172.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 19:00 - 12.04.2022 20:00","170.00","","","","170.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 20:00 - 12.04.2022 21:00","65.00","","","","65.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 21:00 - 12.04.2022 22:00","36.00","","","","36.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 22:00 - 12.04.2022 23:00","111.00","","","","111.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"12.04.2022 23:00 - 13.04.2022 00:00","81.84","","","","81.84","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 00:00 - 13.04.2022 01:00","76.90","","","","76.90","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 01:00 - 13.04.2022 02:00","42.50","","","","42.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 02:00 - 13.04.2022 03:00","41.00","","","","41.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 03:00 - 13.04.2022 04:00","90.36","","","","90.36","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 04:00 - 13.04.2022 05:00","65.00","","","","65.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 05:00 - 13.04.2022 06:00","61.00","","","","61.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 06:00 - 13.04.2022 07:00","196.15","","","","196.15","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 07:00 - 13.04.2022 08:00","272.19","","","","272.19","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 08:00 - 13.04.2022 09:00","193.45","","","","193.45","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 09:00 - 13.04.2022 10:00","197.00","","","","197.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 10:00 - 13.04.2022 11:00","196.59","","","","196.59","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 11:00 - 13.04.2022 12:00","194.25","","","","194.25","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 12:00 - 13.04.2022 13:00","196.15","","","","196.15","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 13:00 - 13.04.2022 14:00","196.00","","","","196.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 14:00 - 13.04.2022 15:00","199.93","","","","199.93","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 15:00 - 13.04.2022 16:00","336.13","","","","336.13","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 16:00 - 13.04.2022 17:00","470.59","","","","470.59","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 17:00 - 13.04.2022 18:00","298.95","","","","298.95","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 18:00 - 13.04.2022 19:00","301.63","","","","301.63","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 19:00 - 13.04.2022 20:00","269.03","","","","269.03","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 20:00 - 13.04.2022 21:00","353.43","","","","353.43","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 21:00 - 13.04.2022 22:00","309.24","","","","309.24","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 22:00 - 13.04.2022 23:00","232.45","","","","232.45","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"13.04.2022 23:00 - 14.04.2022 00:00","207.63","","","","207.63","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 00:00 - 14.04.2022 01:00","200.14","","","","200.14","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 01:00 - 14.04.2022 02:00","198.05","","","","198.05","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 02:00 - 14.04.2022 03:00","199.97","","","","199.97","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 03:00 - 14.04.2022 04:00","204.46","","","","204.46","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 04:00 - 14.04.2022 05:00","254.00","","","","254.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 05:00 - 14.04.2022 06:00","272.33","","","","272.33","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 06:00 - 14.04.2022 07:00","186.00","","","","186.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 07:00 - 14.04.2022 08:00","186.00","","","","186.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 08:00 - 14.04.2022 09:00","225.00","","","","225.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 09:00 - 14.04.2022 10:00","236.00","","","","236.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 10:00 - 14.04.2022 11:00","210.00","","","","210.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 11:00 - 14.04.2022 12:00","194.58","","","","194.58","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 12:00 - 14.04.2022 13:00","193.24","","","","193.24","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 13:00 - 14.04.2022 14:00","191.60","","","","191.60","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 14:00 - 14.04.2022 15:00","194.22","","","","194.22","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 15:00 - 14.04.2022 16:00","215.00","","","","215.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 16:00 - 14.04.2022 17:00","227.83","","","","227.83","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 17:00 - 14.04.2022 18:00","271.07","","","","271.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 18:00 - 14.04.2022 19:00","272.31","","","","272.31","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 19:00 - 14.04.2022 20:00","246.14","","","","246.14","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 20:00 - 14.04.2022 21:00","205.64","","","","205.64","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 21:00 - 14.04.2022 22:00","202.57","","","","202.57","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 22:00 - 14.04.2022 23:00","205.00","","","","205.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"14.04.2022 23:00 - 15.04.2022 00:00","200.00","","","","200.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 00:00 - 15.04.2022 01:00","194.28","","","","194.28","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 01:00 - 15.04.2022 02:00","190.00","","","","190.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 02:00 - 15.04.2022 03:00","190.00","","","","190.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 03:00 - 15.04.2022 04:00","192.00","","","","192.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 04:00 - 15.04.2022 05:00","74.14","","","","74.14","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 05:00 - 15.04.2022 06:00","82.00","","","","82.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 06:00 - 15.04.2022 07:00","196.14","","","","196.14","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 07:00 - 15.04.2022 08:00","200.00","","","","200.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 08:00 - 15.04.2022 09:00","190.62","","","","190.62","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 09:00 - 15.04.2022 10:00","186.55","","","","186.55","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 10:00 - 15.04.2022 11:00","193.00","","","","193.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 11:00 - 15.04.2022 12:00","193.00","","","","193.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 12:00 - 15.04.2022 13:00","175.00","","","","175.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 13:00 - 15.04.2022 14:00","175.00","","","","175.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 14:00 - 15.04.2022 15:00","155.01","","","","155.01","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 15:00 - 15.04.2022 16:00","174.00","","","","174.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 16:00 - 15.04.2022 17:00","174.00","","","","174.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 17:00 - 15.04.2022 18:00","178.50","","","","178.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 18:00 - 15.04.2022 19:00","185.00","","","","185.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 19:00 - 15.04.2022 20:00","376.46","","","","376.46","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 20:00 - 15.04.2022 21:00","205.09","","","","205.09","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 21:00 - 15.04.2022 22:00","196.24","","","","196.24","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 22:00 - 15.04.2022 23:00","184.00","","","","184.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"15.04.2022 23:00 - 16.04.2022 00:00","178.50","","","","178.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 00:00 - 16.04.2022 01:00","164.00","","","","164.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 01:00 - 16.04.2022 02:00","160.50","","","","160.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 02:00 - 16.04.2022 03:00","160.50","","","","160.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 03:00 - 16.04.2022 04:00","166.00","","","","166.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 04:00 - 16.04.2022 05:00","170.00","","","","170.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 05:00 - 16.04.2022 06:00","173.50","","","","173.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 06:00 - 16.04.2022 07:00","173.50","","","","173.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 07:00 - 16.04.2022 08:00","166.00","","","","166.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 08:00 - 16.04.2022 09:00","146.58","","","","146.58","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 09:00 - 16.04.2022 10:00","20.00","","","","20.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 10:00 - 16.04.2022 11:00","8.00","","","","8.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 11:00 - 16.04.2022 12:00","5.00","","","","5.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 12:00 - 16.04.2022 13:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 13:00 - 16.04.2022 14:00","-2.00","","","","-2.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 14:00 - 16.04.2022 15:00","0.50","","","","0.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 15:00 - 16.04.2022 16:00","10.00","","","","10.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 16:00 - 16.04.2022 17:00","20.00","","","","20.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 17:00 - 16.04.2022 18:00","40.00","","","","40.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 18:00 - 16.04.2022 19:00","43.50","","","","43.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 19:00 - 16.04.2022 20:00","173.50","","","","173.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 20:00 - 16.04.2022 21:00","137.50","","","","137.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 21:00 - 16.04.2022 22:00","30.00","","","","30.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 22:00 - 16.04.2022 23:00","34.00","","","","34.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"16.04.2022 23:00 - 17.04.2022 00:00","33.64","","","","33.64","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 00:00 - 17.04.2022 01:00","33.81","","","","33.81","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 01:00 - 17.04.2022 02:00","123.38","","","","123.38","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 02:00 - 17.04.2022 03:00","133.96","","","","133.96","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 03:00 - 17.04.2022 04:00","134.00","","","","134.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 04:00 - 17.04.2022 05:00","36.09","","","","36.09","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 05:00 - 17.04.2022 06:00","36.10","","","","36.10","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 06:00 - 17.04.2022 07:00","133.55","","","","133.55","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 07:00 - 17.04.2022 08:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 08:00 - 17.04.2022 09:00","37.92","","","","37.92","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 09:00 - 17.04.2022 10:00","5.00","","","","5.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 10:00 - 17.04.2022 11:00","5.00","","","","5.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 11:00 - 17.04.2022 12:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 12:00 - 17.04.2022 13:00","-1.00","","","","-1.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 13:00 - 17.04.2022 14:00","-7.00","","","","-7.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 14:00 - 17.04.2022 15:00","-7.00","","","","-7.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 15:00 - 17.04.2022 16:00","1.00","","","","1.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 16:00 - 17.04.2022 17:00","28.00","","","","28.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 17:00 - 17.04.2022 18:00","42.50","","","","42.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 18:00 - 17.04.2022 19:00","57.28","","","","57.28","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 19:00 - 17.04.2022 20:00","169.50","","","","169.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 20:00 - 17.04.2022 21:00","151.00","","","","151.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 21:00 - 17.04.2022 22:00","57.28","","","","57.28","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 22:00 - 17.04.2022 23:00","35.00","","","","35.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"17.04.2022 23:00 - 18.04.2022 00:00","22.00","","","","22.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 00:00 - 18.04.2022 01:00","22.00","","","","22.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 01:00 - 18.04.2022 02:00","22.00","","","","22.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 02:00 - 18.04.2022 03:00","41.00","","","","41.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 03:00 - 18.04.2022 04:00","44.00","","","","44.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 04:00 - 18.04.2022 05:00","44.00","","","","44.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 05:00 - 18.04.2022 06:00","44.00","","","","44.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 06:00 - 18.04.2022 07:00","63.00","","","","63.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 07:00 - 18.04.2022 08:00","63.00","","","","63.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 08:00 - 18.04.2022 09:00","41.00","","","","41.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 09:00 - 18.04.2022 10:00","36.09","","","","36.09","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 10:00 - 18.04.2022 11:00","15.00","","","","15.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 11:00 - 18.04.2022 12:00","11.50","","","","11.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 12:00 - 18.04.2022 13:00","4.72","","","","4.72","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 13:00 - 18.04.2022 14:00","4.72","","","","4.72","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 14:00 - 18.04.2022 15:00","25.00","","","","25.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 15:00 - 18.04.2022 16:00","114.26","","","","114.26","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 16:00 - 18.04.2022 17:00","163.50","","","","163.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 17:00 - 18.04.2022 18:00","240.30","","","","240.30","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 18:00 - 18.04.2022 19:00","250.73","","","","250.73","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 19:00 - 18.04.2022 20:00","226.60","","","","226.60","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 20:00 - 18.04.2022 21:00","349.51","","","","349.51","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 21:00 - 18.04.2022 22:00","268.86","","","","268.86","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 22:00 - 18.04.2022 23:00","268.86","","","","268.86","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"18.04.2022 23:00 - 19.04.2022 00:00","192.98","","","","192.98","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 00:00 - 19.04.2022 01:00","191.14","","","","191.14","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 01:00 - 19.04.2022 02:00","190.95","","","","190.95","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 02:00 - 19.04.2022 03:00","190.00","","","","190.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 03:00 - 19.04.2022 04:00","336.07","","","","336.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 04:00 - 19.04.2022 05:00","135.18","","","","135.18","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 05:00 - 19.04.2022 06:00","291.43","","","","291.43","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 06:00 - 19.04.2022 07:00","295.43","","","","295.43","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 07:00 - 19.04.2022 08:00","255.71","","","","255.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 08:00 - 19.04.2022 09:00","232.54","","","","232.54","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 09:00 - 19.04.2022 10:00","207.71","","","","207.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 10:00 - 19.04.2022 11:00","40.50","","","","40.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 11:00 - 19.04.2022 12:00","50.00","","","","50.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 12:00 - 19.04.2022 13:00","55.00","","","","55.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 13:00 - 19.04.2022 14:00","55.00","","","","55.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 14:00 - 19.04.2022 15:00","168.00","","","","168.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 15:00 - 19.04.2022 16:00","165.00","","","","165.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 16:00 - 19.04.2022 17:00","170.00","","","","170.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 17:00 - 19.04.2022 18:00","170.00","","","","170.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 18:00 - 19.04.2022 19:00","336.07","","","","336.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 19:00 - 19.04.2022 20:00","352.71","","","","352.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 20:00 - 19.04.2022 21:00","178.00","","","","178.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 21:00 - 19.04.2022 22:00","170.19","","","","170.19","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 22:00 - 19.04.2022 23:00","178.50","","","","178.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"19.04.2022 23:00 - 20.04.2022 00:00","176.00","","","","176.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
