"Imbalance settlement period (UTC)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"02.01.2022 21:00 - 02.01.2022 22:00","27.00","","","","27.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 22:00 - 02.01.2022 23:00","24.50","","","","24.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2022 23:00 - 03.01.2022 00:00","13.20","","","","13.20","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 00:00 - 03.01.2022 01:00","15.00","","","","15.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 01:00 - 03.01.2022 02:00","12.00","","","","12.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 02:00 - 03.01.2022 03:00","12.00","","","","12.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 03:00 - 03.01.2022 04:00","13.29","","","","13.29","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 04:00 - 03.01.2022 05:00","9.24","","","","9.24","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 05:00 - 03.01.2022 06:00","23.82","","","","23.82","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 06:00 - 03.01.2022 07:00","26.00","","","","26.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 07:00 - 03.01.2022 08:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 08:00 - 03.01.2022 09:00","110.17","","","","110.17","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 09:00 - 03.01.2022 10:00","93.38","","","","93.38","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 10:00 - 03.01.2022 11:00","90.73","","","","90.73","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 11:00 - 03.01.2022 12:00","82.37","","","","82.37","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 12:00 - 03.01.2022 13:00","80.90","","","","80.90","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 13:00 - 03.01.2022 14:00","80.99","","","","80.99","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 14:00 - 03.01.2022 15:00","98.05","","","","98.05","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 15:00 - 03.01.2022 16:00","120.55","","","","120.55","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 16:00 - 03.01.2022 17:00","139.57","","","","139.57","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 17:00 - 03.01.2022 18:00","134.69","","","","134.69","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 18:00 - 03.01.2022 19:00","114.82","","","","114.82","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 19:00 - 03.01.2022 20:00","92.91","","","","92.91","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 20:00 - 03.01.2022 21:00","72.39","","","","72.39","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 21:00 - 03.01.2022 22:00","82.00","","","","82.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 22:00 - 03.01.2022 23:00","66.07","","","","66.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2022 23:00 - 04.01.2022 00:00","59.50","","","","59.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 00:00 - 04.01.2022 01:00","71.00","","","","71.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 01:00 - 04.01.2022 02:00","83.02","","","","83.02","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 02:00 - 04.01.2022 03:00","90.15","","","","90.15","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 03:00 - 04.01.2022 04:00","90.60","","","","90.60","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 04:00 - 04.01.2022 05:00","93.97","","","","93.97","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 05:00 - 04.01.2022 06:00","156.00","","","","156.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 06:00 - 04.01.2022 07:00","182.64","","","","182.64","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 07:00 - 04.01.2022 08:00","185.00","","","","185.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 08:00 - 04.01.2022 09:00","185.44","","","","185.44","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 09:00 - 04.01.2022 10:00","185.32","","","","185.32","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 10:00 - 04.01.2022 11:00","178.04","","","","178.04","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 11:00 - 04.01.2022 12:00","178.08","","","","178.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 12:00 - 04.01.2022 13:00","175.28","","","","175.28","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 13:00 - 04.01.2022 14:00","174.70","","","","174.70","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 14:00 - 04.01.2022 15:00","180.93","","","","180.93","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 15:00 - 04.01.2022 16:00","177.50","","","","177.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 16:00 - 04.01.2022 17:00","185.32","","","","185.32","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 17:00 - 04.01.2022 18:00","180.50","","","","180.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 18:00 - 04.01.2022 19:00","170.00","","","","170.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 19:00 - 04.01.2022 20:00","147.00","","","","147.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 20:00 - 04.01.2022 21:00","128.75","","","","128.75","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 21:00 - 04.01.2022 22:00","112.96","","","","112.96","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
