forward_bids,deviations,hydrogen_productions,settlements,missing_productions,objectives
10.0,-9.46078431372549,10.0,-19.46078431372549,0.0,118.7372549019608
10.0,-9.166666666666668,10.0,-19.166666666666668,0.0,681.3
10.0,-8.431372549019608,10.0,-18.431372549019606,0.0,672.0
10.0,-9.019607843137255,10.0,-19.019607843137255,0.0,673.9
10.0,-8.431372549019608,10.0,-18.431372549019606,0.0,683.4
10.0,-9.166666666666668,10.0,-19.166666666666668,0.0,188.3833333333332
10.0,-8.92156862745098,10.0,-18.92156862745098,0.0,117.17058823529419
10.0,-8.872549019607844,10.0,-18.872549019607845,0.0,123.8784313725489
10.0,-7.254901960784315,10.0,-17.254901960784316,0.0,162.3941176470588
10.0,-6.470588235294118,0.0,-6.470588235294118,0.0,184.33529411764707
10.0,-7.794117647058824,0.0,-7.794117647058824,0.0,134.2205882352941
10.0,-7.69607843137255,0.0,-7.69607843137255,0.0,139.26372549019607
10.0,-7.9411764705882355,0.0,-7.9411764705882355,0.0,123.55882352941177
10.0,-8.382352941176471,0.0,-8.382352941176471,0.0,110.7176470588235
10.0,-8.186274509803923,0.0,-8.186274509803923,0.0,125.79411764705878
-10.0,11.323529411764707,0.0,11.323529411764707,0.0,59.73088235294125
-10.0,10.88235294117647,0.0,10.88235294117647,0.0,41.055882352941126
-10.0,11.029411764705882,0.0,11.029411764705882,0.0,50.83235294117645
-10.0,10.833333333333332,0.0,10.833333333333332,0.0,37.39999999999998
-10.0,10.980392156862745,0.0,10.980392156862745,0.0,43.127450980392155
-10.0,11.568627450980392,0.0,11.568627450980392,0.0,61.992156862745105
-10.0,12.254901960784313,0.0,12.254901960784313,0.0,82.68725490196073
-10.0,12.107843137254902,10.0,2.1078431372549016,0.0,69.85539215686273
-10.0,11.127450980392156,10.0,1.1274509803921564,0.0,45.98578431372544
-10.0,10.588235294117647,10.0,0.5882352941176467,0.0,38.67058823529415
-10.0,10.490196078431373,0.0,10.490196078431373,0.0,70.18235294117648
-10.0,10.392156862745098,0.0,10.392156862745098,0.0,78.49019607843144
-10.0,10.049019607843137,0.0,10.049019607843137,0.0,1.5107843137254804
-10.0,10.098039215686274,10.0,0.09803921568627416,0.0,49.69313725490194
10.0,-9.852941176470589,10.0,-19.852941176470587,0.0,84.8352941176471
10.0,-9.950980392156863,10.0,-19.950980392156865,0.0,187.18137254901956
10.0,-9.950980392156863,10.0,-19.950980392156865,0.0,141.22843137254904
10.0,-10.0,10.0,-20.0,0.0,70.10000000000002
-10.0,10.0,10.0,0.0,0.0,-16.19999999999999
-10.0,10.0,0.0,10.0,0.0,33.69999999999993
-10.0,10.0,0.0,10.0,0.0,39.299999999999955
-10.0,10.0,0.0,10.0,0.0,23.0
-10.0,10.0,0.0,10.0,0.0,0.0
-10.0,10.049019607843137,10.0,0.04901960784313708,0.0,4.340196078431389
-10.0,10.392156862745098,0.0,10.392156862745098,0.0,26.209803921568664
-10.0,11.176470588235293,0.0,11.176470588235293,0.0,44.388235294117635
-10.0,11.323529411764707,0.0,11.323529411764707,0.0,49.605882352941194
-10.0,11.470588235294116,0.0,11.470588235294116,0.0,53.32352941176464
-10.0,12.205882352941176,10.0,2.2058823529411757,0.0,74.9191176470588
-10.0,12.205882352941176,10.0,2.2058823529411757,0.0,79.43970588235292
-10.0,13.235294117647058,0.0,13.235294117647058,0.0,113.68823529411765
-10.0,13.872549019607844,10.0,3.8725490196078436,0.0,153.47549019607845
-10.0,13.284313725490197,10.0,3.284313725490197,0.0,157.03529411764708
-10.0,13.872549019607844,10.0,3.8725490196078436,0.0,189.28431372549022
-10.0,13.333333333333332,10.0,3.333333333333332,0.0,197.66666666666663
-10.0,14.117647058823529,10.0,4.117647058823529,0.0,239.27058823529404
-10.0,13.676470588235293,10.0,3.6764705882352935,0.0,262.1029411764706
-10.0,14.852941176470587,10.0,4.852941176470587,0.0,317.00588235294117
-10.0,14.950980392156863,10.0,4.950980392156863,0.0,317.13529411764705
-10.0,17.107843137254903,10.0,7.107843137254903,0.0,372.1529411764706
10.0,-3.6274509803921573,10.0,-13.627450980392158,0.0,431.9754901960784
10.0,-4.705882352941177,10.0,-14.705882352941178,0.0,627.2
10.0,-5.637254901960784,10.0,-15.637254901960784,0.0,402.20392156862744
10.0,-5.245098039215687,10.0,-15.245098039215687,0.0,276.87254901960785
10.0,-4.068627450980392,10.0,-14.068627450980392,0.0,436.20196078431366
10.0,-3.6274509803921573,10.0,-13.627450980392158,0.0,386.12352941176465
