,forecasts_24h
2021-01-08 09:00:00,"[0.15236822 0.36339103 0.69464011 0.86588107 0.86394847 0.88226626
 0.88337428 0.86459593 0.88011495 0.92706847 0.90647175 0.87552116
 0.79910462 0.89291036 0.56891046 0.43820674 0.36981631 0.4033607
 0.47209584 0.46442399 0.75139997 0.4672117  0.21959169 0.10320954]"
2021-01-08 10:00:00,"[0.51951679 0.76575921 0.92281399 0.90441063 0.90742992 0.89991973
 0.87578146 0.88750814 0.93193894 0.90970362 0.87766449 0.80052323
 0.89384984 0.56953292 0.43861905 0.37008939 0.40354159 0.47221566
 0.46450336 0.75145255 0.46724652 0.21961475 0.10322482 0.08419067]"
2021-01-08 11:00:00,"[0.75811802 0.91933324 0.90162419 0.9054496  0.89868815 0.87497168
 0.88696069 0.9315771  0.90946525 0.87750632 0.80041833 0.89378041
 0.56948694 0.43858858 0.37006921 0.40352823 0.47220681 0.46449749
 0.75144866 0.46724395 0.21961305 0.10322369 0.08418992 0.39846034]"
2021-01-08 12:00:00,"[0.96378452 0.92187283 0.92165923 0.91020832 0.88213614 0.89167142
 0.93476179 0.91157019 0.87889301 0.80133849 0.89439065 0.56989084
 0.43885607 0.37024644 0.40364562 0.47228456 0.464549   0.75148278
 0.46726654 0.21962802 0.10323361 0.08419649 0.39846469 0.66055829]"
2021-01-08 13:00:00,"[0.92030421 0.92094469 0.9096363  0.88172962 0.89141859 0.93459555
 0.91145781 0.87881873 0.80128955 0.89435818 0.56986931 0.43884181
 0.370237   0.40363936 0.47228042 0.46454625 0.75148096 0.46726534
 0.21962722 0.10323308 0.08419614 0.39846446 0.66055814 0.80401185]"
2021-01-08 14:00:00,"[0.93954629 0.91810979 0.88851289 0.89623946 0.93759368 0.91342912
 0.88015143 0.80217041 0.89493847 0.57025437 0.43909718 0.37040602
 0.4037513  0.47235458 0.46459538 0.7515135  0.46728689 0.21964149
 0.10324253 0.0842024  0.39846861 0.66056089 0.80401367 0.68634781]"
2021-01-08 15:00:00,"[0.9266509  0.89240357 0.89935407 0.93980723 0.91480574 0.88105658
 0.80278234 0.89534293 0.57052081 0.43927398 0.37052327 0.40382891
 0.47240598 0.46462943 0.75153605 0.46730183 0.21965139 0.10324909
 0.08420674 0.39847148 0.66056279 0.80401493 0.68634865 0.54887338]"
2021-01-08 16:00:00,"[0.90768688 0.90631599 0.94538045 0.91876662 0.88351987 0.80440199
 0.89643789 0.57124454 0.43975076 0.37083964 0.40403872 0.47254485
 0.4647214  0.75159698 0.46734219 0.21967812 0.1032668  0.08421847
 0.39847925 0.66056794 0.80401834 0.6863509  0.54887487 0.7262854 ]"
2021-01-08 17:00:00,"[0.9392032  0.96036138 0.93075929 0.89204305 0.8097026  0.89992312
 0.57360072 0.4413081  0.37186559 0.4047195  0.47299633 0.46502022
 0.75179488 0.46747331 0.21976497 0.10332432 0.08425658 0.39850449
 0.66058465 0.80402942 0.68635824 0.54887973 0.72628862 0.78223015]"
2021-01-08 18:00:00,"[0.98445946 0.94173656 0.90083067 0.81594796 0.90380714 0.57615452
 0.4430346  0.37300673 0.40547126 0.47349517 0.46535104 0.75201385
 0.46761832 0.21986105 0.10338796 0.08429873 0.39853241 0.66060315
 0.80404167 0.68636635 0.54888511 0.72629218 0.78223251 0.81463797]"
2021-01-08 19:00:00,"[0.93961002 0.89986198 0.81517249 0.90325602 0.57581177 0.44280923
 0.37285438 0.40537056 0.47342883 0.46530702 0.75198465 0.467599
 0.21984825 0.10337948 0.08429311 0.39852869 0.66060069 0.80404003
 0.68636527 0.54888439 0.72629171 0.7822322  0.81463777 0.72143124]"
2021-01-08 20:00:00,"[0.90580685 0.81788052 0.90542387 0.57735247 0.4437674  0.37348438
 0.40579648 0.47371035 0.46549248 0.75210771 0.46768061 0.21990227
 0.10341526 0.08431681 0.39854439 0.66061108 0.80404692 0.68636983
 0.54888741 0.72629371 0.78223352 0.81463864 0.72143182 0.7049013 ]"
2021-01-08 21:00:00,"[0.85431362 0.92202004 0.59063818 0.45320954 0.37935651 0.40965748
 0.47632057 0.46721773 0.75324428 0.46843479 0.22040243 0.1037463
 0.08453605 0.39868965 0.6607073  0.80411065 0.68641205 0.54891537
 0.72631223 0.78224579 0.81464677 0.7214372  0.70490487 0.6263268 ]"
2021-01-08 22:00:00,"[0.98281282 0.61833078 0.47537828 0.3951118  0.41945579 0.48276309
 0.47157319 0.75612306 0.47033128 0.22166087 0.10458088 0.08508843
 0.39905547 0.66094968 0.80427119 0.68651838 0.54898581 0.72635889
 0.78227669 0.81466724 0.72145076 0.70491385 0.62633275 0.67828566]"
2021-01-08 23:00:00,"[0.55299189 0.44561481 0.37128528 0.40252231 0.47223206 0.4646489
 0.7514419  0.46723722 0.21962257 0.10322833 0.08419144 0.39846178
 0.6605565  0.80401069 0.68634583 0.54887152 0.72628318 0.78222655
 0.81463402 0.72142876 0.70489928 0.6263231  0.67827926 0.63116911]"
2021-01-09 00:00:00,"[0.39740519 0.34932462 0.38494216 0.45973787 0.45687869 0.74633288
 0.46378327 0.21733965 0.10172439 0.08319348 0.39779994 0.66011845
 0.80372059 0.68615362 0.54874421 0.72619886 0.78217069 0.81459703
 0.72140426 0.70488304 0.62631235 0.67827214 0.63116439 0.59036397]"
2021-01-09 01:00:00,"[0.25687801 0.34283047 0.42602623 0.43291986 0.73143274 0.45398623
 0.21071637 0.09734667 0.08030953 0.39588626 0.65884932 0.80288059
 0.68559733 0.54837563 0.72595472 0.78200899 0.81448992 0.72133331
 0.70483605 0.62628122 0.67825152 0.63115073 0.59035493 0.54110107]"
2021-01-09 02:00:00,"[0.44175162 0.47108723 0.46899251 0.75706953 0.46992991 0.22119954
 0.10443382 0.08499385 0.39897219 0.66089703 0.8042386  0.68649616
 0.54897088 0.72634911 0.78227023 0.81466294 0.72144792 0.70491197
 0.6263315  0.67828483 0.6311728  0.59036954 0.54111075 0.4612063 ]"
2021-01-09 03:00:00,"[0.48616411 0.4758604  0.76256747 0.47383729 0.22362957 0.10603159
 0.08607402 0.39968614 0.66136737 0.8045507  0.68670313 0.54910788
 0.72643984 0.78233034 0.81470276 0.72147429 0.70492944 0.62634307
 0.67829249 0.63117787 0.5903729  0.54111298 0.46120778 0.5114487 ]"
2021-01-09 04:00:00,"[0.5061607  0.77637    0.48488662 0.23148231 0.11091526 0.0892851
 0.40185699 0.66280221 0.80549595 0.68733036 0.54952385 0.72671516
 0.78251267 0.81482356 0.72155431 0.70498244 0.62637818 0.67831575
 0.63119328 0.59038311 0.54111974 0.46121225 0.51145167 0.43836731]"
2021-01-09 05:00:00,"[0.72957913 0.46357223 0.21441953 0.09878875 0.08174355 0.39689832
 0.65944991 0.80328021 0.68587068 0.54855526 0.7260728  0.78208751
 0.814542   0.72136776 0.70485887 0.62629634 0.67826154 0.63115737
 0.59035932 0.54110398 0.46120182 0.51144475 0.43836273 0.37815676]"
2021-01-09 06:00:00,"[0.52550765 0.24263263 0.12137416 0.09779498 0.4068808  0.66601352
 0.80771753 0.68880357 0.55048739 0.72735489 0.78293778 0.81510477
 0.72174045 0.7051058  0.6264599  0.67836987 0.63122913 0.59040685
 0.54113547 0.46122267 0.51145857 0.43837188 0.37816282 0.1777375 ]"
2021-01-09 07:00:00,"[0.07039454 0.0429155  0.03498653 0.36224291 0.63825294 0.78946459
 0.67646368 0.54233122 0.72198177 0.77937238 0.81274024 0.72017544
 0.70406936 0.6257732  0.67791501 0.63092786 0.5902073  0.54100328
 0.46113512 0.51140057 0.43833347 0.37813738 0.17772065 0.13451081]"
2021-01-09 08:00:00,"[0.00611057 0.01822098 0.3488216  0.62871443 0.78353253 0.67256328
 0.53969435 0.72023891 0.77822422 0.81197836 0.71967017 0.70373494
 0.62555173 0.67776827 0.63083066 0.59014292 0.54096064 0.46110687
 0.51138186 0.43832107 0.37812917 0.17771521 0.1345072  0.20815815]"
2021-01-09 09:00:00,"[0.05603304 0.36604592 0.642503   0.79333205 0.67865766 0.54370149
 0.72294793 0.78001477 0.81315794 0.7204529  0.70425403 0.6258953
 0.6779958  0.63098142 0.59024278 0.54102678 0.46115068 0.51141088
 0.43834029 0.3781419  0.17772364 0.13451279 0.20816186 0.22277352]"
2021-01-09 10:00:00,"[0.43157817 0.67235454 0.81722908 0.69564125 0.55426369 0.72989272
 0.78470979 0.81626116 0.72249724 0.70561058 0.62679494 0.67859125
 0.63137575 0.59050405 0.54119984 0.4612653  0.51148681 0.43839059
 0.37817521 0.17774571 0.13452741 0.20817154 0.22277993 0.31757866]"
2021-01-09 11:00:00,"[0.76963842 0.86154426 0.73111685 0.57947615 0.7455725  0.79501945
 0.823231   0.72710402 0.70864543 0.62880876 0.67992679 0.63225971
 0.59108945 0.54158771 0.46152222 0.51165697 0.4385033  0.37824987
 0.17779516 0.13456016 0.20819323 0.2227943  0.31758818 0.58619366]"
2021-01-09 12:00:00,"[0.91791276 0.75679408 0.60003152 0.76018118 0.80410468 0.82920466
 0.73114251 0.71131471 0.63056722 0.68109364 0.63303355 0.59160164
 0.5419269  0.46174696 0.51180583 0.4386019  0.37831518 0.17783842
 0.13458882 0.20821221 0.22280688 0.31759651 0.58619918 0.73984347]"
2021-01-09 13:00:00,"[0.7587055  0.60090222 0.7608782  0.80460005 0.82951273 0.73134507
 0.71145165 0.63065774 0.68115327 0.63307312 0.59162788 0.54194427
 0.46175846 0.51181345 0.43860695 0.37831853 0.17784064 0.13459029
 0.20821319 0.22280752 0.31759693 0.58619946 0.73984365 0.84532611]"
2021-01-09 14:00:00,"[0.53484031 0.73078539 0.78050988 0.81239187 0.7206975  0.70445073
 0.62592477 0.67802497 0.63101226 0.59026037 0.54103736 0.4611582
 0.51141593 0.43834356 0.37814407 0.17772509 0.13451375 0.20816249
 0.22277394 0.31757469 0.58618473 0.73983389 0.84531965 0.85249233]"
2021-01-09 15:00:00,"[0.69462903 0.76403977 0.79920708 0.71132708 0.69862321 0.6220931
 0.67543457 0.62930011 0.58913244 0.5402889  0.46066183 0.5110874
 0.43812599 0.37799991 0.1776296  0.1344505  0.2081206  0.22274619
 0.31755631 0.58617255 0.73982583 0.84531431 0.85248879 0.93078229]"
2021-01-09 16:00:00,"[0.64177689 0.74351334 0.66674262 0.66693709 0.60238731 0.66247775
 0.62054066 0.5833428  0.53647481 0.45813094 0.50940894 0.43701507
 0.3772642  0.17714215 0.13412762 0.20790674 0.22260453 0.31746248
 0.5861104  0.73978466 0.84528704 0.85247073 0.93077032 0.97057497]"
2021-01-09 17:00:00,"[0.83341459 0.70769484 0.69972053 0.62568646 0.67696764 0.63006795
 0.58978371 0.54073199 0.46093549 0.51126994 0.43824926 0.37808107
 0.17768313 0.13448605 0.20814416 0.22276178 0.31756664 0.5861794
 0.73983036 0.84531731 0.85249078 0.93078361 0.97058376 0.93006413]"
2021-01-09 18:00:00,"[0.74609632 0.71721335 0.63968997 0.68691991 0.63625733 0.59385331
 0.54348324 0.46275395 0.51246791 0.43904418 0.37860825 0.17803206
 0.13471713 0.20829726 0.2228632  0.31763381 0.58622389 0.73985983
 0.84533683 0.85250371 0.93079217 0.97058944 0.93006789 0.84561795]"
2021-01-09 19:00:00,"[0.70387675 0.63361482 0.68205658 0.63280097 0.59170378 0.5420699
 0.46179846 0.51183636 0.43862814 0.37833218 0.17784897 0.13459595
 0.20821701 0.22281002 0.31759859 0.58620056 0.73984438 0.8453266
 0.85249693 0.93078768 0.97058646 0.93006592 0.84561665 0.9199362 ]"
2021-01-09 20:00:00,"[0.58340481 0.65918469 0.61449136 0.57869116 0.53397727 0.45647745
 0.5082391  0.43625049 0.37676584 0.1768096  0.13390666 0.20776079
 0.22250789 0.3173984  0.58606796 0.73975656 0.84526842 0.85245839
 0.93076216 0.97056956 0.93005472 0.84560923 0.91993128 0.87135266]"
2021-01-09 21:00:00,"[0.67965077 0.62381415 0.58615433 0.53928134 0.45977608 0.51040799
 0.43771677 0.37773499 0.17744806 0.13433031 0.20804175 0.22269385
 0.31752156 0.58614956 0.73981061 0.84530422 0.85248211 0.93077786
 0.97057996 0.93006161 0.8456138  0.91993431 0.87135466 0.94265223]"
2021-01-09 22:00:00,"[0.68878764 0.61575134 0.56297461 0.47661486 0.52088013 0.44460234
 0.38238997 0.18052482 0.13635722 0.20938673 0.22358582 0.31811193
 0.58654054 0.74006965 0.84547581 0.85259575 0.93085314 0.97062982
 0.93009464 0.84563567 0.9199488  0.87136426 0.94265859 0.90296378]"
2021-01-09 23:00:00,"[0.64006669 0.57405084 0.48548171 0.52718179 0.44852138 0.38496679
 0.18226687 0.13750865 0.21014527 0.22408916 0.31844573 0.58676147
 0.74021597 0.84557275 0.85265997 0.93089567 0.970658   0.9301133
 0.84564803 0.91995699 0.87136968 0.94266218 0.90296616 0.87083927]"
2021-01-10 00:00:00,"[0.55207728 0.47547222 0.5191689  0.44282663 0.38142519 0.17993822
 0.13593437 0.20910473 0.22340367 0.31799087 0.58645982 0.74001631
 0.84544052 0.85257236 0.93083764 0.97061956 0.93008785 0.84563117
 0.91994582 0.87136228 0.94265728 0.90296291 0.87083712 0.85448542]"
2021-01-10 01:00:00,"[0.47131062 0.51727319 0.44130906 0.38034666 0.17926747 0.13549334
 0.20880657 0.2232066  0.31786105 0.58637367 0.73995918 0.84540271
 0.85254732 0.93082105 0.97060857 0.93008057 0.84562635 0.91994262
 0.87136017 0.94265588 0.90296198 0.87083651 0.85448501 0.8705837 ]"
2021-01-10 02:00:00,"[0.56046533 0.46098413 0.39609713 0.19046132 0.14245486 0.21338386
 0.22630108 0.31990637 0.58772108 0.74085327 0.84599566 0.85293978
 0.93108096 0.97078078 0.93019463 0.8457019  0.91999267 0.87139331
 0.94267783 0.90297653 0.87084614 0.85449139 0.87058793 0.93906766]"
2021-01-10 03:00:00,"[0.43449643 0.38403133 0.18080229 0.1355902  0.20911469 0.22349404
 0.31800867 0.58646679 0.74002697 0.84544736 0.85257615 0.93084028
 0.97062139 0.93008903 0.84563195 0.91994634 0.87136263 0.9426575
 0.90296306 0.87083722 0.85448548 0.87058401 0.93906507 0.97447641]"
2021-01-10 04:00:00,"[0.33113943 0.15670874 0.11630261 0.19540702 0.21496916 0.31240345
 0.58267738 0.73752232 0.84379735 0.85148126 0.93011417 0.97014079
 0.92977075 0.84542107 0.91980665 0.87127011 0.94259622 0.90292247
 0.87081033 0.85446767 0.87057221 0.93905725 0.97447123 0.9108258 ]"
2021-01-10 05:00:00,"[0.13222649 0.10515035 0.18647931 0.20862424 0.30845751 0.58008287
 0.73576831 0.84263801 0.85071752 0.92960738 0.96980469 0.9295483
 0.84527375 0.91970905 0.87120546 0.9425534  0.9028941  0.87079154
 0.85445523 0.87056397 0.93905179 0.97446761 0.9108234  0.96120164]"
2021-01-10 06:00:00,"[0.14109749 0.20285412 0.22173275 0.31777371 0.58587667 0.73957781
 0.84521342 0.85241976 0.93072878 0.97054882 0.93004179 0.84560038
 0.91992536 0.87134877 0.94264833 0.90295698 0.87083319 0.85448282
 0.87058224 0.9390639  0.97447563 0.91082872 0.96120516 0.88980987]"
2021-01-10 07:00:00,"[0.17777868 0.21031028 0.30862969 0.57937803 0.73553626 0.84255605
 0.85062325 0.92954136 0.96976657 0.92952272 0.84525614 0.91969751
 0.87119788 0.94254836 0.90289076 0.87078933 0.85445376 0.870563
 0.93905115 0.97446719 0.91082312 0.96120145 0.88980742 0.9513247 ]"
2021-01-10 08:00:00,"[0.23269273 0.31882545 0.58754003 0.74133698 0.84616356 0.85299523
 0.93114493 0.97082647 0.93022096 0.84571946 0.92000479 0.87140126
 0.94268304 0.90298    0.87084844 0.85449291 0.87058893 0.93906833
 0.97447857 0.91083066 0.96120644 0.88981073 0.95132689 0.98023944]"
2021-01-10 09:00:00,"[0.39194761 0.62084896 0.76800176 0.86511418 0.86478074 0.93889406
 0.97606526 0.93368359 0.84800057 0.92151845 0.8724051  0.94334746
 0.90342001 0.87113998 0.85468602 0.87071683 0.93915305 0.97453468
 0.91086783 0.96123107 0.88982703 0.9513377  0.9802466  0.9812316 ]"
2021-01-10 10:00:00,"[0.6978463  0.80307593 0.89319208 0.88473567 0.95130415 0.98422506
 0.93920001 0.85164671 0.92392044 0.87399897 0.94440449 0.90411963
 0.87160331 0.854993   0.87092017 0.93928773 0.97462389 0.91092692
 0.96127021 0.88985296 0.95135487 0.98025797 0.98123913 0.9943005 ]"
2021-01-10 11:00:00,"[0.8585361  0.91845554 0.90495981 0.96567743 0.99316388 0.94507741
 0.85562012 0.92654671 0.8757291  0.94555254 0.904881   0.87210723
 0.85532673 0.87114129 0.93943419 0.9747209  0.91099118 0.96131277
 0.88988115 0.95137354 0.98027034 0.98124732 0.99430593 0.9803993 ]"
2021-01-10 12:00:00,"[0.94115961 0.91530207 0.97395671 0.99904796 0.94873675 0.85802618
 0.92817333 0.87680423 0.94626082 0.90535098 0.87241892 0.85553303
 0.87127791 0.93952471 0.97478086 0.91103089 0.96133908 0.88989858
 0.95138509 0.98027799 0.98125239 0.99430928 0.98040152 0.9939066 ]"
2021-01-10 13:00:00,"[0.91787381 0.9751282  0.99998577 0.94940325 0.85844068 0.92844587
 0.87698848 0.9463826  0.90543121 0.87247216 0.85556834 0.87130128
 0.93954018 0.97479111 0.91103768 0.96134357 0.88990156 0.95138706
 0.9802793  0.98125325 0.99430986 0.9804019  0.99390685 1.00025342]"
2021-01-10 14:00:00,"[1.00012637 1.01137305 0.9585191  0.86491931 0.93247496 0.87963767
 0.94817358 0.90661498 0.873252   0.85608581 0.87164446 0.93976733
 0.97494154 0.91113735 0.96140959 0.88994528 0.95141602 0.98029848
 0.98126596 0.99431828 0.98040748 0.99391054 1.00025586 0.60858224]"
2021-01-10 15:00:00,"[1.00105526 0.95381909 0.86115681 0.92980096 0.87797469 0.94708015
 0.90587577 0.87276341 0.85576394 0.87143088 0.93962568 0.97484779
 0.91107526 0.96136846 0.88991804 0.95139797 0.98028653 0.98125804
 0.99431303 0.980404   0.99390824 1.00025434 0.60858123 0.81516525]"
2021-01-10 16:00:00,"[0.94557857 0.85740305 0.92679597 0.87583904 0.94575198 0.90500248
 0.87217302 0.85537371 0.87117381 0.9394551  0.97473466 0.91100039
 0.96131887 0.88988518 0.95137621 0.98027211 0.9812485  0.99430671
 0.98039982 0.99390547 1.0002525  0.60858001 0.81516445 0.91624335]"
2021-01-10 17:00:00,"[0.87816785 0.93625484 0.88341115 0.95113346 0.90834925 0.87437357
 0.85686139 0.8721571  0.94010287 0.9751645  0.91128545 0.96150754
 0.89001013 0.951459   0.98032695 0.98128482 0.99433076 0.98041575
 0.99391602 1.00025949 0.60858464 0.81516752 0.91624539 0.96375167]"
2021-01-10 18:00:00,"[0.99482745 0.9100924  0.97249258 0.92352916 0.88381405 0.86306863
 0.8763535  0.94287652 0.97699172 0.91249793 0.96231164 0.89054234
 0.95181146 0.98056048 0.9814395  0.99443322 0.98048362 0.99396098
 1.00028927 0.60860436 0.81518058 0.91625404 0.9637574  0.93679377]"
2021-01-10 19:00:00,"[0.90767095 0.97138955 0.92264615 0.88318649 0.86267835 0.87609689
 0.94270304 0.97687706 0.91242239 0.96226152 0.8905091  0.95178946
 0.9805459  0.98142984 0.99442682 0.98047938 0.99395817 1.00028741
 0.60860313 0.81517976 0.9162535  0.96375704 0.93679353 0.947809  ]"
2021-01-10 20:00:00,"[1.01453682 0.94230078 0.8989206  0.87386057 0.88305117 0.94727558
 0.97996832 0.91446559 0.96360753 0.89140227 0.95238179 0.98093795
 0.98168948 0.99459885 0.98059333 0.99403364 1.0003374  0.60863625
 0.8152017  0.91626803 0.96376666 0.9367999  0.94781322 0.97858937]"
2021-01-10 21:00:00,"[0.92701159 0.891956   0.8682852  0.87908877 0.94481133 0.97834804
 0.9133702  0.96288353 0.89092531 0.9520653  0.98072806 0.98155056
 0.99450684 0.98053237 0.99399326 1.00031066 0.60861853 0.81518996
 0.91626026 0.96376152 0.93679649 0.94781096 0.97858787 0.96957479]"
2021-01-10 22:00:00,"[0.92499125 0.88333356 0.89113542 0.95337287 0.98367252 0.91687112
 0.96525032 0.89248966 0.95309586 0.9814119  0.98200408 0.99480701
 0.98073116 0.99412497 1.0003979  0.60867632 0.81522824 0.91628561
 0.96377831 0.93680762 0.94781833 0.97859275 0.96957803 0.89903076]"
2021-01-10 23:00:00,"[0.91486219 0.90549748 0.96487012 0.9918436  0.92195276 0.96859157
 0.89474851 0.95458887 0.98239547 0.98265673 0.99523985 0.98101764
 0.9943147  1.0005236  0.60875958 0.81528339 0.91632214 0.96380251
 0.93682364 0.94782894 0.97859979 0.96958269 0.89903385 0.94198875]"
2021-01-11 00:00:00,"[0.94232196 0.98164458 1.00527204 0.93149634 0.97452678 0.89865099
 0.95722714 0.98413926 0.9838055  0.99600213 0.98152317 0.99464929
 1.00074519 0.6089064  0.81538064 0.91638655 0.96384517 0.93685191
 0.94784766 0.97861219 0.9695909  0.89903929 0.94199235 0.79710414]"
2021-01-11 01:00:00,"[1.00154912 1.01433904 0.93875474 0.97968531 0.90185911 0.95933652
 0.9855653  0.98474806 0.99662307 0.98193521 0.99492255 1.00092605
 0.60902617 0.81545999 0.91643912 0.96387999 0.93687497 0.94786294
 0.9786223  0.9695976  0.89904373 0.94199529 0.79710609 0.72386113]"
2021-01-11 02:00:00,"[1.00584031 0.93488336 0.97658616 0.89965655 0.95796674 0.98466465
 0.98413918 0.99622062 0.98167008 0.99474662 1.00080938 0.60894895
 0.81540885 0.91640523 0.96385754 0.9368601  0.94785309 0.97861578
 0.96959328 0.89904087 0.9419934  0.79710483 0.7238603  0.72489695]"
2021-01-11 03:00:00,"[0.92414103 0.97169277 0.89573924 0.95518271 0.98293325 0.98300076
 0.99545099 0.98116139 0.9944115  1.00058701 0.60880148 0.81531125
 0.91634059 0.96381471 0.93683173 0.9478343  0.97860334 0.96958504
 0.89903541 0.94198978 0.79710243 0.72385871 0.7248959  0.70058844]"
2021-01-11 04:00:00,"[1.00366592 0.9103038  0.96684206 0.99121953 0.98815405 0.99883935
 0.98345208 0.99592556 1.00158444 0.60946333 0.81575018 0.91663111
 0.96400711 0.93695921 0.94791874 0.97865926 0.96962208 0.89905994
 0.94200603 0.7971132  0.72386584 0.72490062 0.70059157 0.75052546]"
2021-01-11 05:00:00,"[0.90069832 0.96246653 0.9877168  0.98566466 0.99729118 0.98243414
 0.99523738 1.00112958 0.60916368 0.81555134 0.91649924 0.96391983
 0.93690141 0.94788044 0.97863389 0.96960528 0.89904881 0.94199866
 0.79710832 0.72386261 0.72489848 0.70059015 0.75052452 0.60654715]"
2021-01-11 06:00:00,"[1.00669642 1.00786459 1.00179356 1.00875397 0.98956292 0.99992465
 1.0042984  0.61125815 0.81693113 0.91741482 0.96452703 0.93730329
 0.9481466  0.97881024 0.96972208 0.89912618 0.94204991 0.79714226
 0.72388509 0.72491337 0.70060001 0.75053106 0.60655147 0.56178293]"
2021-01-11 07:00:00,"[0.99667466 0.99669627 1.00467344 0.98666289 0.99812111 1.00311255
 0.61045645 0.81640124 0.91706574 0.9642954  0.93714968 0.94804492
 0.9787429  0.96967747 0.89909663 0.94203033 0.7971293  0.7238765
 0.72490768 0.70059624 0.75052856 0.60654982 0.56178184 0.53812741]"
2021-01-11 08:00:00,"[0.98818316 1.00079551 0.9835585  0.99591482 1.00174044 0.60955427
 0.81579133 0.91666261 0.96402982 0.93697345 0.94792805 0.97866555
 0.96962624 0.89906269 0.94200785 0.79711441 0.72386664 0.72490115
 0.70059192 0.75052569 0.60654792 0.56178058 0.53812658 0.25291966]"
2021-01-11 09:00:00,"[0.99672208 0.98170295 0.9944294  1.00068476 0.60889773 0.81535965
 0.91637077 0.96383693 0.93684638 0.94784373 0.97860963 0.96958923
 0.89903817 0.94199161 0.79710365 0.72385951 0.72489643 0.70058879
 0.75052362 0.60654655 0.56177967 0.53812598 0.25291926 0.29229985]"
2021-01-11 10:00:00,"[0.97060212 0.98937269 0.99663672 0.6060208  0.81357046 0.91519436
 0.96304162 0.93632071 0.94749743 0.97837983 0.96943684 0.89893731
 0.94192481 0.79705939 0.7238302  0.72487701 0.70057593 0.7505151
 0.60654091 0.56177593 0.5381235  0.25291762 0.29229876 0.28982541]"
2021-01-11 11:00:00,"[0.98936544 0.99663341 0.60601815 0.81356858 0.91519319 0.96304085
 0.93632019 0.94749709 0.97837961 0.96943669 0.89893721 0.94192475
 0.79705935 0.72383017 0.72487699 0.70057592 0.75051509 0.6065409
 0.56177593 0.5381235  0.25291762 0.29229876 0.28982541 0.35327939]"
2021-01-11 12:00:00,"[0.97912719 0.59804364 0.80718475 0.91065621 0.96021927 0.93446496
 0.94624286 0.97755062 0.96889056 0.89857482 0.94168442 0.79690028
 0.72372483 0.7248072  0.70052968 0.75048447 0.60652062 0.56176249
 0.5381146  0.25291172 0.29229485 0.28982282 0.35327768 0.3816206 ]"
2021-01-11 13:00:00,"[0.5730757  0.79581124 0.90155139 0.95374848 0.93044074 0.94359688
 0.97576181 0.96770823 0.89779593 0.94116757 0.79655751 0.72349796
 0.72465695 0.70043014 0.75041854 0.60647695 0.56173356 0.53809544
 0.25289903 0.29228645 0.28981725 0.35327399 0.38161816 0.44103485]"
2021-01-11 14:00:00,"[0.9728907  0.98221541 1.01832238 0.97633334 0.97213777 0.99452782
 0.98039498 0.90618135 0.94669172 0.80022313 0.72592895 0.72626596
 0.70149571 0.75112454 0.60694459 0.5620433  0.5383006  0.25303493
 0.29237646 0.28987688 0.35331349 0.38164432 0.44105218 0.44404626]"
2021-01-11 15:00:00,"[0.96050815 1.0084342  0.96841756 0.96651203 0.99102914 0.97809455
 0.90462615 0.94566379 0.79954596 0.7254796  0.72596795 0.70129847
 0.75099392 0.60685804 0.56198597 0.53826263 0.25300978 0.29235981
 0.28986585 0.35330618 0.38163948 0.44104897 0.44404414 0.27964045]"
2021-01-11 16:00:00,"[1.00857859 0.96848333 0.96656469 0.99106656 0.97811782 0.90464145
 0.94567414 0.7995528  0.7254841  0.72597094 0.70130045 0.75099523
 0.60685891 0.56198655 0.53826302 0.25301004 0.29235997 0.28986596
 0.35330625 0.38163953 0.441049   0.44404416 0.27964046 0.25798206]"
2021-01-11 17:00:00,"[0.94862053 0.9575167  0.98382338 0.9729701  0.90144005 0.94356917
 0.79812974 0.72454352 0.7253513  0.70088929 0.75072255 0.60667843
 0.56186702 0.53818382 0.25295758 0.29232523 0.28984294 0.35329101
 0.38162943 0.44104231 0.44403973 0.27963753 0.25798012 0.43994805]"
2021-01-11 18:00:00,"[0.97156518 0.9902228  0.97809303 0.90508091 0.94583345 0.79961853
 0.72555001 0.72601656 0.70132754 0.75101336 0.60687129 0.56199467
 0.53826836 0.25301359 0.29236233 0.28986752 0.35330728 0.38164021
 0.44104946 0.44404446 0.27964066 0.25798219 0.43994942 0.48332011]"
2021-01-11 19:00:00,"[0.99740081 0.98136279 0.90769845 0.94769373 0.80077545 0.7263107
 0.72653082 0.70166745 0.75123728 0.60701988 0.56209322 0.53833358
 0.25305678 0.29239095 0.28988647 0.35331984 0.38164853 0.44105496
 0.44404811 0.27964308 0.25798379 0.43995048 0.48332081 0.59843143]"
2021-01-11 20:00:00,"[0.97503295 0.90481505 0.94538548 0.79913498 0.72529049 0.72586002
 0.70121395 0.75093754 0.60682242 0.56196218 0.53824668 0.25299927
 0.29235286 0.28986124 0.35330312 0.38163746 0.44104763 0.44404325
 0.27963986 0.25798166 0.43994907 0.48331988 0.59843081 0.58084788]"
2021-01-11 21:00:00,"[0.91017998 0.94782934 0.80109136 0.72668088 0.72672471 0.7017825
 0.7513219  0.60707647 0.56212955 0.53835774 0.25307292 0.29240161
 0.28989352 0.35332451 0.38165162 0.44105701 0.44404947 0.27964398
 0.25798439 0.43995088 0.48332107 0.5984316  0.58084841 0.80611467]"
