,forecasts_24h
2021-01-01 17:00:00,"[0.53750129 0.7894718  0.84179433 0.80831074 0.91131241 0.91247688
 0.91717824 0.9636473  0.94693572 0.97794546 0.98799988 0.99737427
 1.00181458 0.90424833 0.79117776 0.90494974 0.90786673 0.95980451
 0.98421816 0.92493478 0.8776769  0.94562221 0.64265537 0.44608805]"
2021-01-01 18:00:00,"[0.84675263 0.86788716 0.8291988  0.92615753 0.92170915 0.92324858
 0.96775115 0.94964819 0.97973238 0.98918561 0.99816063 1.00233506
 0.90459301 0.79140613 0.90510101 0.90796692 0.95987088 0.98426212
 0.92496389 0.87769619 0.94563498 0.64266383 0.44609366 0.42322246]"
2021-01-01 19:00:00,"[0.88650035 0.83767756 0.93294503 0.92653302 0.92624858 0.96972368
 0.95098172 0.98061379 0.98976627 0.99854593 1.00259058 0.90476214
 0.79151814 0.90517522 0.90801608 0.95990343 0.98428368 0.92497818
 0.87770565 0.94564125 0.64266798 0.44609641 0.42322428 0.42906837]"
2021-01-01 20:00:00,"[0.83294621 0.93078978 0.92480768 0.92502238 0.9689611  0.95048032
 0.98027482 0.98954222 0.99839834 1.00249264 0.90469719 0.79147515
 0.90514675 0.90799721 0.95989094 0.98427541 0.9249727  0.87770202
 0.94563884 0.64266639 0.44609535 0.42322358 0.4290679  0.32738897]"
2021-01-01 21:00:00,"[0.91305167 0.91672753 0.91855399 0.96436403 0.94762137 0.97839502
 0.98827138 0.99755836 1.00193929 0.90433    0.79123164 0.90498558
 0.90789048 0.95982022 0.98422856 0.92494167 0.87768147 0.94562523
 0.64265737 0.44608938 0.42321962 0.42906528 0.32738723 0.60669399]"
2021-01-01 22:00:00,"[0.94680983 0.93225721 0.97533386 0.95541761 0.98324355 0.99145936
 0.99971359 1.0033638  0.90526844 0.79185435 0.90539856 0.90816381
 0.96000124 0.9843485  0.92502112 0.87773409 0.94566008 0.64268046
 0.44610467 0.42322975 0.42907199 0.32739168 0.60669694 0.81826379]"
2021-01-01 23:00:00,"[0.95494119 0.98566696 0.96368957 0.98912242 0.99511546 1.00211753
 1.00498898 0.90634262 0.792562   0.90586812 0.90847522 0.96020735
 0.984485   0.92511155 0.87779399 0.94569976 0.64270674 0.44612208
 0.42324128 0.42907963 0.32739674 0.60670029 0.81826601 0.89981706]"
2021-01-02 00:00:00,"[0.99641076 0.96858363 0.99304026 0.99789987 1.00384917 1.00612756
 0.90711235 0.79307076 0.90620329 0.90869763 0.96035484 0.98458262
 0.92517621 0.87783683 0.94572813 0.64272553 0.44613453 0.42324953
 0.42908509 0.32740035 0.60670268 0.8182676  0.89981811 0.92842048]"
2021-01-02 01:00:00,"[0.94739384 0.98338779 0.99017279 0.99835754 1.00271228 0.90486676
 0.79155263 0.90519986 0.90803659 0.95991621 0.98429172 0.92498367
 0.87770932 0.94564365 0.64266957 0.44609746 0.42322498 0.42906883
 0.32738958 0.60669555 0.81826287 0.89981498 0.9284184  0.96947243]"
2021-01-02 02:00:00,"[0.97501125 0.98635707 0.99530295 1.00054139 0.90351667 0.79066493
 0.90459973 0.90763993 0.95965489 0.98411832 0.92486867 0.87763321
 0.94559325 0.64263617 0.44607534 0.42321033 0.42905912 0.32738315
 0.60669129 0.81826005 0.89981311 0.92841717 0.96947161 0.96867282]"
