,FC_1h,FC_2h,FC_3h,FC_4h,FC_5h,FC_6h,FC_7h,FC_8h,FC_9h,FC_10h,FC_11h,FC_12h,FC_13h,FC_14h,FC_15h,FC_16h,FC_17h,FC_18h,FC_19h,FC_20h,FC_21h,FC_22h,FC_23h,FC_24h
2021-01-01 00:00:00,0.29929040568266285,0.229633717849636,0.1930482863896725,0.2292905821673604,0.18436138479303843,0.21873934759917488,0.30504136518770814,0.3165369075821632,0.33985681105618587,0.21108447985607506,0.19361262166238466,0.17349184840276324,0.29605664119224107,0.14318845259299975,0.23948944857472046,0.618730350811647,0.3527441506736325,0.5343549784263792,0.5862827057126387,0.8086748897056127,0.8542650918417378,0.8182789328443242,0.9177086410036931,0.9165244908261618
2021-01-01 01:00:00,0.24230678926794313,0.1988211805801418,0.23391195206314674,0.18764578710566837,0.22078193751732986,0.30638439509951837,0.31744486184187554,0.3404569322264992,0.21147982741657098,0.19387495961205278,0.173665827336764,0.2961717928332654,0.1432647125406247,0.23953997521355352,0.618763818760004,0.352766317554647,0.5343696616223318,0.5862924317899627,0.8086813320334779,0.8542693591118604,0.8182817594190916,0.9177105132782698,0.9165257309869358,0.9199128855136768
2021-01-01 02:00:00,0.17208831133313157,0.22173447586367498,0.1778973628217446,0.2138537435002679,0.30207570879886214,0.3146118435590793,0.33854167256244544,0.21021391797372085,0.193041004346355,0.1731124456129874,0.2958047976557856,0.14302180901223183,0.23937911072053916,0.6186572367022823,0.3526957194921994,0.5343229022920783,0.586261458717645,0.8086608156215674,0.854255769516822,0.8182727579410394,0.9177045508362396,0.916521781567746,0.9199102694899269,0.9654737233023214
2021-01-01 03:00:00,0.21377397254813524,0.17427115873698693,0.21095086154186599,0.30001263390278854,0.3133288046430142,0.3376980574897496,0.20964359270242494,0.19266404232915182,0.17286411074117627,0.2956400118632027,0.1429125253322751,0.23930677900315928,0.6186093345366689,0.3526639815288693,0.5343018796287424,0.5862475347426285,0.8086515924722452,0.8542496601477331,0.8182687112367608,0.917701870379637,0.9165200060740977,0.9199090934334302,0.9654729443037956,0.9481359171574878
2021-01-01 04:00:00,0.2060261542199083,0.22541603915278988,0.31159242978033813,0.32155855236233954,0.3428161880110354,0.21300883127603182,0.19493910908007492,0.17436783816631934,0.29663063675462376,0.14356986719769507,0.239742719122248,0.6188978707343973,0.35285506656361937,0.5344284845483355,0.586331395593232,0.808707136166686,0.8542864519250187,0.8182930819304385,0.9177180129614553,0.916530698599926,0.919916175999764,0.9654776356740847,0.9481390246362096,0.9787416314715318
2021-01-01 05:00:00,0.26891068069935675,0.331405303488128,0.3374193346807408,0.35408842790989625,0.22001910632178306,0.1995484577274848,0.1774839845023858,0.298690283885593,0.14492672062828799,0.24064307663687495,0.6194949755025503,0.3532502729965774,0.534690212662762,0.5865048056508304,0.8088219999095811,0.8543625298158556,0.8183434754241412,0.9177513933656918,0.9165528090048921,0.919930821493207,0.9654873366259896,0.9481454503801277,0.978745887767937,0.988531348592553
2021-01-01 06:00:00,0.3445844612403531,0.34342276358221396,0.3588943475545981,0.22343466793042308,0.2016726164152976,0.17888064696008607,0.299634496383541,0.14555080703267642,0.24105421200372895,0.6197677896538284,0.3534311996039543,0.5348099627685095,0.5865841109626014,0.8088745442788103,0.8543973342729979,0.8183665275172071,0.9177666629202755,0.916562923483311,0.9199375210889423,0.9654917743052436,0.9481483898313096,0.9787478348099119,0.9885326382778975,0.9977270943626343
2021-01-01 07:00:00,0.291407490051486,0.3352001174449628,0.20446674679421367,0.18819213650341032,0.1704970539227693,0.29412217297614324,0.14182420535787615,0.238591078498434,0.6181451276471112,0.35235446139590115,0.5340958847410188,0.5861114833013433,0.8085615434359823,0.8541899530587095,0.8182291618833494,0.9176756813151672,0.9165026578674579,0.9198976014391835,0.9654653324558273,0.9481308752750253,0.9787362334344574,0.9885249537260619,0.9977220042546607,1.00204476419192
2021-01-01 08:00:00,0.29561019493771606,0.18643256817252135,0.17375525139383802,0.1602367761457653,0.28774124337315665,0.13762865967061105,0.235754683310902,0.6162703847498731,0.3511194190950385,0.5332763565654679,0.5855679834434452,0.8082018165478225,0.8539517215111057,0.8180713196642119,0.917571129432029,0.9164334098475719,0.9198517320070047,0.9654349487678604,0.9481107498253587,0.9787229027360109,0.9885161236743474,0.9977161553800702,1.0020408900033104,0.904398257707342
2021-01-01 09:00:00,0.1625858289171192,0.16289247804038867,0.15154080977186923,0.2815610299920513,0.13378514710951311,0.2332275229200216,0.6145619000603673,0.34999017957624,0.5325324366521953,0.5850743458337418,0.8078744428482586,0.8537350422967542,0.8179278223992935,0.9174760541703237,0.9163704336824784,0.919810020900501,0.9654073196056977,0.9480924484032118,0.9787107802987794,0.9885080940125089,0.9977108366543058,1.0020373669707188,0.904395924114353,0.7912755412354113
2021-01-01 10:00:00,0.19578126625474146,0.1665224577202854,0.2935542754134525,0.14230873294796853,0.2385283931676182,0.6180472924232051,0.35234647619687304,0.5340898537472234,0.5861003403822637,0.8085552547037619,0.8541865473917104,0.8182266606058479,0.9176739617796071,0.9165015589534498,0.9198968759515892,0.9654648464538463,0.9481305538084489,0.9787360211331996,0.9885248129553581,0.9977219109502424,1.0020447024157604,0.904400782987155,0.7912787596647642,0.9050166374855746
