forward_bids,deviations,hydrogen_productions,settlements,missing_productions,objectives
-10.0,10.53921568627451,10.0,0.5392156862745097,0.0,257.5813725490196
-10.0,10.833333333333332,10.0,0.8333333333333321,0.0,345.09999999999997
-10.0,11.568627450980392,10.0,1.568627450980392,0.0,367.0980392156863
-10.0,10.980392156862745,10.0,0.9803921568627452,0.0,274.1647058823529
-10.0,11.568627450980392,10.0,1.568627450980392,0.0,186.82941176470587
-10.0,10.833333333333332,10.0,0.8333333333333321,0.0,73.14999999999992
-10.0,11.07843137254902,0.0,11.07843137254902,0.0,75.52254901960794
-10.0,11.127450980392156,0.0,11.127450980392156,0.0,91.75196078431372
-10.0,12.745098039215685,0.0,12.745098039215685,0.0,261.33333333333326
-10.0,13.529411764705882,0.0,13.529411764705882,0.0,330.4588235294118
-10.0,12.205882352941176,0.0,12.205882352941176,0.0,233.42647058823536
10.0,-7.69607843137255,0.0,-7.69607843137255,0.0,442.3735294117646
10.0,-7.9411764705882355,0.0,-7.9411764705882355,0.0,488.4117647058823
10.0,-8.382352941176471,0.0,-8.382352941176471,0.0,362.4147058823529
10.0,-8.186274509803923,0.0,-8.186274509803923,0.0,403.30980392156846
-10.0,11.323529411764707,0.0,11.323529411764707,0.0,190.61470588235306
-10.0,10.88235294117647,0.0,10.88235294117647,0.0,140.02058823529387
-10.0,11.029411764705882,0.0,11.029411764705882,0.0,169.53382352941162
10.0,-9.166666666666668,0.0,-9.166666666666668,0.0,107.99999999999977
10.0,-9.019607843137255,0.0,-9.019607843137255,0.0,129.69019607843154
-10.0,11.568627450980392,10.0,1.568627450980392,0.0,-226.22352941176467
-10.0,12.254901960784313,10.0,2.254901960784313,0.0,-163.90098039215695
10.0,-7.892156862745098,10.0,-17.892156862745097,0.0,-140.653431372549
10.0,-8.872549019607844,10.0,-18.872549019607845,0.0,627.1392156862744
10.0,-9.411764705882353,10.0,-19.411764705882355,0.0,683.3
10.0,-9.509803921568627,10.0,-19.509803921568626,0.0,455.1
10.0,-9.607843137254902,10.0,-19.607843137254903,0.0,366.4
10.0,-9.950980392156863,10.0,-19.950980392156865,0.0,366.1
10.0,-9.901960784313726,10.0,-19.901960784313726,0.0,365.9
10.0,-9.852941176470589,10.0,-19.852941176470587,0.0,521.7
10.0,-9.950980392156863,10.0,-19.950980392156865,0.0,451.42745098039217
10.0,-9.950980392156863,10.0,-19.950980392156865,0.0,768.2921568627451
-10.0,10.0,0.0,10.0,0.0,0.0
-10.0,10.0,0.0,10.0,0.0,224.39999999999998
-10.0,10.0,0.0,10.0,0.0,219.10000000000002
-10.0,10.0,0.0,10.0,0.0,177.0
-10.0,10.0,0.0,10.0,0.0,240.29999999999995
-10.0,10.0,0.0,10.0,0.0,365.19999999999993
-10.0,10.049019607843137,0.0,10.049019607843137,0.0,531.8264705882353
-10.0,10.392156862745098,0.0,10.392156862745098,0.0,431.8117647058823
-10.0,11.176470588235293,0.0,11.176470588235293,0.0,480.63529411764694
-10.0,11.323529411764707,0.0,11.323529411764707,0.0,539.048529411765
-10.0,11.470588235294116,0.0,11.470588235294116,0.0,597.1294117647057
10.0,-7.794117647058824,0.0,-7.794117647058824,0.0,501.085294117647
10.0,-7.794117647058824,10.0,-17.794117647058826,0.0,1042.0
10.0,-6.764705882352941,10.0,-16.764705882352942,0.0,956.5
10.0,-6.127450980392156,10.0,-16.127450980392155,0.0,790.7
-10.0,13.284313725490197,10.0,3.284313725490197,0.0,342.2622549019608
-10.0,13.872549019607844,10.0,3.8725490196078436,0.0,343.2377450980392
-10.0,13.333333333333332,10.0,3.333333333333332,0.0,347.59999999999997
-10.0,14.117647058823529,10.0,4.117647058823529,0.0,348.7647058823529
-10.0,13.676470588235293,10.0,3.6764705882352935,0.0,349.21764705882356
-10.0,14.852941176470587,10.0,4.852941176470587,0.0,351.4852941176471
-10.0,14.950980392156863,10.0,4.950980392156863,0.0,344.83039215686273
-10.0,17.107843137254903,10.0,7.107843137254903,0.0,323.3098039215687
10.0,-3.6274509803921573,10.0,-13.627450980392158,0.0,358.67745098039217
10.0,-4.705882352941177,10.0,-14.705882352941178,0.0,220.9588235294118
-10.0,14.362745098039216,10.0,4.362745098039216,0.0,178.82352941176472
-10.0,14.754901960784313,10.0,4.754901960784313,0.0,196.64019607843136
-10.0,15.931372549019608,10.0,5.931372549019608,0.0,245.60539215686273
10.0,-3.6274509803921573,10.0,-13.627450980392158,0.0,345.578431372549
10.0,-2.6470588235294112,10.0,-12.647058823529411,0.0,360.40588235294126
-10.0,17.058823529411764,10.0,7.0588235294117645,0.0,278.05882352941177
-10.0,16.568627450980394,10.0,6.568627450980394,0.0,260.72549019607845
-10.0,18.088235294117645,10.0,8.088235294117645,0.0,285.96764705882345
-10.0,19.11764705882353,0.0,19.11764705882353,0.0,949.8
-10.0,19.068627450980394,0.0,19.068627450980394,0.0,1032.0666666666666
-10.0,19.509803921568626,0.0,19.509803921568626,0.0,908.9333333333333
-10.0,19.313725490196077,10.0,9.313725490196077,0.0,334.83627450980384
10.0,-0.5882352941176485,10.0,-10.588235294117649,0.0,403.3352941176469
10.0,-0.14705882352941302,10.0,-10.147058823529413,0.0,359.75882352941176
-10.0,19.852941176470587,0.0,19.852941176470587,0.0,909.8999999999999
-10.0,19.754901960784313,0.0,19.754901960784313,0.0,956.6
-10.0,19.607843137254903,10.0,9.607843137254903,0.0,638.1588235294118
-10.0,19.166666666666664,0.0,19.166666666666664,0.0,970.9999999999999
-10.0,19.11764705882353,10.0,9.117647058823529,0.0,579.2558823529412
-10.0,19.215686274509807,0.0,19.215686274509807,0.0,701.8117647058824
-10.0,19.852941176470587,0.0,19.852941176470587,0.0,931.8794117647059
-10.0,19.41176470588235,0.0,19.41176470588235,0.0,748.6999999999999
-10.0,19.264705882352942,0.0,19.264705882352942,0.0,705.5999999999999
-10.0,19.509803921568626,0.0,19.509803921568626,0.0,704.1999999999999
-10.0,19.852941176470587,10.0,9.852941176470587,0.0,348.1632352941176
-10.0,20.0,10.0,10.0,0.0,352.0
-10.0,19.852941176470587,10.0,9.852941176470587,0.0,348.4514705882353
-10.0,19.558823529411764,0.0,19.558823529411764,0.0,831.7352941176471
-10.0,18.235294117647058,0.0,18.235294117647058,0.0,1250.8294117647058
-10.0,17.84313725490196,0.0,17.84313725490196,0.0,962.4196078431372
-10.0,19.215686274509807,0.0,19.215686274509807,0.0,1272.0784313725492
-10.0,20.0,0.0,20.0,0.0,1305.3999999999999
-10.0,19.950980392156865,0.0,19.950980392156865,0.0,917.8588235294119
-10.0,19.705882352941174,10.0,9.705882352941174,0.0,344.65588235294115
-10.0,19.950980392156865,10.0,9.950980392156865,0.0,351.02549019607847
-10.0,20.0,10.0,10.0,0.0,352.0
-10.0,20.0,10.0,10.0,0.0,352.0
10.0,0.0,10.0,-10.0,0.0,352.1
10.0,0.0,10.0,-10.0,0.0,372.0
10.0,0.0,10.0,-10.0,0.0,352.5
-10.0,20.0,10.0,10.0,0.0,352.0
-10.0,19.852941176470587,10.0,9.852941176470587,0.0,352.0
-10.0,19.852941176470587,10.0,9.852941176470587,0.0,352.0
-10.0,19.754901960784313,10.0,9.754901960784313,0.0,352.0
-10.0,19.852941176470587,10.0,9.852941176470587,0.0,352.0
-10.0,19.950980392156865,10.0,9.950980392156865,0.0,352.0
10.0,0.0,10.0,-10.0,0.0,358.3
10.0,-0.049019607843135304,10.0,-10.049019607843135,0.0,372.5
10.0,0.0,10.0,-10.0,0.0,384.9
10.0,0.0,10.0,-10.0,0.0,392.6
10.0,-0.6372549019607838,10.0,-10.637254901960784,0.0,452.7
10.0,-1.813725490196079,10.0,-11.813725490196079,0.0,457.9
10.0,-3.382352941176471,10.0,-13.382352941176471,0.0,382.53382352941173
-10.0,14.313725490196077,10.0,4.313725490196077,0.0,202.8490196078431
-10.0,13.774509803921568,0.0,13.774509803921568,0.0,786.2857843137256
-10.0,14.313725490196077,0.0,14.313725490196077,0.0,838.1980392156863
-10.0,15.098039215686274,10.0,5.098039215686274,0.0,223.71568627450975
-10.0,14.46078431372549,10.0,4.46078431372549,0.0,268.46862745098036
10.0,-6.3235294117647065,10.0,-16.323529411764707,0.0,445.8264705882353
10.0,-7.15686274509804,10.0,-17.15686274509804,0.0,500.9
10.0,-6.715686274509804,10.0,-16.715686274509803,0.0,451.4
10.0,-7.401960784313726,10.0,-17.401960784313726,0.0,400.4
10.0,-6.372549019607844,10.0,-16.372549019607845,0.0,372.1
-10.0,15.588235294117647,10.0,5.588235294117647,0.0,345.9117647058823
10.0,-5.0,10.0,-15.0,0.0,352.9
10.0,-5.392156862745098,10.0,-15.392156862745098,0.0,352.8
10.0,-4.558823529411765,10.0,-14.558823529411764,0.0,352.5
10.0,-3.480392156862745,10.0,-13.480392156862745,0.0,352.8
10.0,-3.186274509803921,10.0,-13.186274509803921,0.0,352.9
10.0,-2.0588235294117654,10.0,-12.058823529411764,0.0,357.3
10.0,-2.1078431372549025,10.0,-12.107843137254903,0.0,372.3
10.0,-2.9901960784313726,10.0,-12.990196078431373,0.0,383.0
10.0,-3.9215686274509807,10.0,-13.92156862745098,0.0,396.3
10.0,-4.166666666666666,10.0,-14.166666666666666,0.0,412.6
10.0,-2.549019607843137,10.0,-12.549019607843137,0.0,412.6
10.0,-2.9411764705882346,10.0,-12.941176470588236,0.0,408.8
10.0,-3.5294117647058822,10.0,-13.529411764705882,0.0,523.0117647058823
10.0,-3.9215686274509807,10.0,-13.92156862745098,0.0,460.7058823529412
-10.0,15.098039215686274,0.0,15.098039215686274,0.0,1630.5607843137254
-10.0,16.176470588235293,0.0,16.176470588235293,0.0,1966.1705882352942
-10.0,16.568627450980394,0.0,16.568627450980394,0.0,1929.594117647059
-10.0,14.264705882352942,0.0,14.264705882352942,0.0,876.9705882352941
10.0,-7.598039215686275,10.0,-17.598039215686274,0.0,333.956862745098
-10.0,11.470588235294116,0.0,11.470588235294116,0.0,66.16176470588226
-10.0,10.637254901960784,0.0,10.637254901960784,0.0,29.288235294117612
-10.0,11.274509803921568,10.0,1.2745098039215677,0.0,46.60784313725487
-10.0,12.30392156862745,0.0,12.30392156862745,0.0,133.42009803921565
-10.0,13.235294117647058,10.0,3.235294117647058,0.0,82.57352941176461
-10.0,11.911764705882351,10.0,1.9117647058823515,0.0,-12.89558823529427
10.0,-8.431372549019608,10.0,-18.431372549019606,0.0,198.8196078431372
-10.0,12.745098039215685,10.0,2.7450980392156854,0.0,-11.325490196078448
-10.0,12.892156862745097,10.0,2.8921568627450966,0.0,-150.73774509803937
10.0,-7.058823529411765,10.0,-17.058823529411764,0.0,659.2705882352941
-10.0,12.450980392156861,0.0,12.450980392156861,0.0,344.705882352941
-10.0,12.156862745098039,0.0,12.156862745098039,0.0,314.85882352941167
10.0,-7.5,0.0,-7.5,0.0,533.0
10.0,-7.745098039215687,10.0,-17.745098039215687,0.0,-234.1833333333334
-10.0,12.892156862745097,0.0,12.892156862745097,0.0,545.4460784313724
-10.0,13.774509803921568,0.0,13.774509803921568,0.0,966.7392156862745
-10.0,13.57843137254902,0.0,13.57843137254902,0.0,734.9490196078432
10.0,-7.2058823529411775,0.0,-7.2058823529411775,0.0,602.8823529411764
10.0,-6.421568627450981,0.0,-6.421568627450981,0.0,731.4392156862746
-10.0,13.676470588235293,0.0,13.676470588235293,0.0,598.8602941176471
-10.0,14.068627450980392,0.0,14.068627450980392,0.0,762.1504901960784
-10.0,14.852941176470587,0.0,14.852941176470587,0.0,1059.805882352941
-10.0,16.470588235294116,0.0,16.470588235294116,0.0,1064.1529411764702
-10.0,18.823529411764707,0.0,18.823529411764707,0.0,1350.0
10.0,-1.2254901960784323,0.0,-1.2254901960784323,0.0,1259.8372549019605
10.0,-2.0098039215686274,10.0,-12.009803921568627,0.0,1022.6926470588234
10.0,-0.29411764705882426,10.0,-10.294117647058824,0.0,978.8794117647058
-10.0,19.901960784313726,10.0,9.901960784313726,0.0,697.6745098039215
-10.0,19.754901960784313,10.0,9.754901960784313,0.0,770.9970588235291
-10.0,19.558823529411764,10.0,9.558823529411764,0.0,649.7323529411764
-10.0,19.313725490196077,10.0,9.313725490196077,0.0,302.97254901960775
-10.0,19.852941176470587,10.0,9.852941176470587,0.0,643.5529411764705
-10.0,20.0,10.0,10.0,0.0,352.0
-10.0,20.0,0.0,20.0,0.0,2015.2
-10.0,20.0,0.0,20.0,0.0,2650.3999999999996
-10.0,20.0,0.0,20.0,0.0,2560.8
-10.0,20.0,0.0,20.0,0.0,2309.3
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,2234.9862745098044
-10.0,19.558823529411764,0.0,19.558823529411764,0.0,2138.6294117647058
-10.0,19.11764705882353,0.0,19.11764705882353,0.0,1882.205882352941
-10.0,18.823529411764707,0.0,18.823529411764707,0.0,1779.1352941176474
-10.0,18.627450980392158,0.0,18.627450980392158,0.0,2113.517647058824
-10.0,17.549019607843135,0.0,17.549019607843135,0.0,1832.5039215686272
-10.0,16.61764705882353,0.0,16.61764705882353,0.0,1607.576470588235
-10.0,14.117647058823529,0.0,14.117647058823529,0.0,1822.2117647058824
-10.0,11.617647058823529,0.0,11.617647058823529,0.0,1215.1117647058823
-10.0,11.323529411764707,0.0,11.323529411764707,0.0,213.07500000000005
-10.0,12.549019607843137,10.0,2.549019607843137,0.0,-762.8156862745099
-10.0,15.147058823529411,10.0,5.147058823529411,0.0,-283.9779411764706
-10.0,18.627450980392158,10.0,8.627450980392158,0.0,267.1980392156863
-10.0,19.068627450980394,10.0,9.068627450980394,0.0,527.2137254901963
-10.0,19.65686274509804,10.0,9.656862745098039,0.0,537.1705882352941
-10.0,19.852941176470587,10.0,9.852941176470587,0.0,598.1588235294116
-10.0,19.901960784313726,10.0,9.901960784313726,0.0,640.2225490196079
-10.0,19.901960784313726,10.0,9.901960784313726,0.0,472.0539215686274
10.0,-0.14705882352941302,10.0,-10.147058823529413,0.0,480.97058823529403
10.0,-0.09803921568627416,10.0,-10.098039215686274,0.0,714.8882352941179
-10.0,19.901960784313726,10.0,9.901960784313726,0.0,540.9970588235294
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,1903.2196078431373
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,1873.8196078431374
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,2217.9686274509804
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,2312.1686274509807
-10.0,19.607843137254903,0.0,19.607843137254903,0.0,1933.488235294118
-10.0,19.754901960784313,0.0,19.754901960784313,0.0,2233.354901960784
-10.0,19.852941176470587,0.0,19.852941176470587,0.0,2319.711764705882
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,2322.4078431372545
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,2297.3549019607844
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,2077.5843137254906
-10.0,19.901960784313726,10.0,9.901960784313726,0.0,343.55294117647065
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,2162.98431372549
-10.0,19.901960784313726,0.0,19.901960784313726,0.0,1722.1352941176474
-10.0,19.852941176470587,0.0,19.852941176470587,0.0,2058.847058823529
-10.0,18.92156862745098,0.0,18.92156862745098,0.0,1763.8352941176472
-10.0,18.137254901960784,10.0,8.137254901960784,0.0,704.9529411764705
-10.0,17.5,10.0,7.5,0.0,853.8
-10.0,14.46078431372549,10.0,4.46078431372549,0.0,544.6166666666667
-10.0,12.549019607843137,10.0,2.549019607843137,0.0,260.4019607843137
-10.0,13.480392156862745,10.0,3.480392156862745,0.0,343.2598039215686
