,H_MIN,Model,Global Hindsight,Day-ahead Objective,Local Hindsight,Adjustment Type,Adjustment Value,MAO,RMAO
0,150,Deterministic,1765968.1705882354,1653777.2058525467,66603.23907878599,Rule-based,49265.28747826931,17337.95160051668,0.35193038522640047
1,150,Deterministic,1765968.1705882354,1653777.2058525467,66603.23907878599,MPC,65259.06619809847,1344.172880687518,0.02059748873217381
2,150,HAPD-AF-12,1765968.1705882354,1639701.20887948,77804.45543341502,Rule-based,36829.36713676434,40975.088296650676,1.112565636669546
3,150,HAPD-AF-12,1765968.1705882354,1639701.20887948,77804.45543341502,MPC,76918.38531070738,886.0701227076352,0.011519614187536647
