,H_MIN,Model,Global Hindsight,Day-ahead Objective,Local Hindsight,Adjustment Type,Adjustment Value,MAO,RMAO
0,100,Deterministic,1836495.7705882352,1723098.7058525467,67379.2022442345,Rule-based,57312.47530279099,10066.726941443514,0.17564634729628031
1,100,Deterministic,1836495.7705882352,1723098.7058525467,67379.2022442345,MPC,66728.1225876764,651.0796565581113,0.009757200282424178
2,100,HAPD-AF-12,1836495.7705882352,1739691.7681320312,53232.76123197633,Rule-based,36701.90298597771,16530.85824599862,0.4504087499853723
3,100,HAPD-AF-12,1836495.7705882352,1739691.7681320312,53232.76123197633,MPC,52786.78581344732,445.9754185290076,0.008448618563462455
