,H_MIN,Model,Global Hindsight,Day-ahead Objective,Local Hindsight,Adjustment Type,Adjustment Value,MAO,RMAO
0,75,Deterministic,1851652.7705882352,1737412.0058525465,68493.82659028796,Rule-based,60886.034756704,7607.791833583964,0.12495134334144317
1,75,Deterministic,1851652.7705882352,1737412.0058525465,68493.82659028796,MPC,68122.4267275813,371.3998627066612,0.005451947039289624
2,75,HAPD-AF-12,1851652.7705882352,1777681.808413313,33785.07416728581,Rule-based,30507.325837270822,3277.7483300149906,0.1074413518739346
3,75,HAPD-AF-12,1851652.7705882352,1777681.808413313,33785.07416728581,MPC,33565.97807091288,219.09609637293033,0.006527326446738981
